puzzle,solution
000709400709000051408015702084050670007000035250697140000076514001030000876040903,315729486729468351468315792184253679697184235253697148932876514541932867876541923
000000180108405900030080004401250700000014302325007418807142005003978001004530800,542369187178425963936781524481253796769814352325697418897142635653978241214536879
743900205010034009006520347301600002004000173208307096067000501000050004030076028,743968215512734689986521347371649852694285173258317496467892531829153764135476928
030087060040031807207040050054003098068050003023000000375002046092410705410370002,531287469649531827287649351154723698968154273723968514375892146892416735416375982
000095010400000007216730954802573491000140068090000700000950006970004823601300079,783495612459261387216738954862573491537149268194826735328957146975614823641382579
016800300730040000900573100360018502189725043207000801802300006601080030540000020,416892357735641289928573164364918572189725643257436891872354916691287435543169728
794100058050000020601085497200050609040090032906820000069208573000940001182500000,794162358853479126621385497238754619547691832916823745469218573375946281182537964
905860200204005600601004900568203097407650003100007500800400056056002340309070010,975861234234795681681324975568213497497658123123947568812439756756182349349576812
100750906960100058000906023410280509096001080270500031041300805050614000020000604,132758946964123758785946123413287569596431287278569431641372895859614372327895614
504030060060105003783000504051004000478060001026500470100308690830956040000071830,514837269269145783783692514951784326478263951326519478147328695832956147695471832
405692783000000209090830001603070094801040630549006007052000048100200070067480005,415692783738514269296837451623178594871945632549326817952763148184259376367481925
201800643870400100406200580003089704600103058589007310314000800068300005002000400,291875643875436129436291587123589764647123958589647312314952876768314295952768431
281305090000697010000810305970201004406700031003504000647928050890000076005400020,281345697534697812769812345978231564456789231123564789647928153892153476315476928
690031750300720980000060013003100500906803027702090834137200600004010200020004071,698431752341725986275968413483172569956843127712596834137259648864317295529684371
600108070057029800004375000430096082008053097760280050800500009021034765070000030,692148573357629841184375926435796182218453697769281354843567219921834765576912438
006097002000146509900320064169050800500800601084609725020080006001900007090200418,416597382238146579957328164169752843572834691384619725723481956841965237695273418
982670500004290710000050002307080160025910300100004800690000203001325690250060401,982671534534298716716453982347582169825916347169734825698147253471325698253869471
002039008039060200864510930001200600976081302053070004000020896320008500008040023,512739468739864215864512937481253679976481352253976184145327896327698541698145723
001092000926008517380000060003054192500021600210000405035207080002869300008043001,751692843926438517384175269863754192547921638219386475435217986172869354698543721
600080153130960020800015649940201005701506900056400710060840230000000008000120506,694782153135964827872315649948271365721536984356498712569847231213659478487123596
094870106058000040002039000860100700479580312201047008003700000907052401500014070,394875126758261943612439587865123794479586312231947658143798265987652431526314879
100207500024560300000081040070926050805734006000058734080410670300070095260000403,138247569724569381956381247473926158815734926692158734589413672341672895267895413
053801092902053480840060500029400000600520347437018200000080000005074820206090004,753841692962753481841962573529437168618529347437618259174286935395174826286395714
300000000049000570260000041000354019910087405530000720083041290690803100450902087,375419862149628573268735941827354619916287435534196728783541296692873154451962387
093000700046001000000089206081000570620450300070130620050013068908240137100896400,893624715246571893715389246381962574629457381574138629452713968968245137137896452
086090320000000000549000080035200090261070004097053062314600850000301276002905413,786594321123768945549132687435216798261879534897453162314627859958341276672985413
020000060000080001876000045305804610201009480748126950082000070910045800057208009,129453768534687291876912345395874612261539487748126953682391574913745826457268139
570023904491000308030410000683290500000008492200075000010086043304900007068002109,576823914491567328832419765683294571157638492249175836915786243324951687768342159
000078400080010009400630570230067800810043960976000043060700084140300790759100020,693578412587412639421639578234967851815243967976851243362795184148326795759184326
043200901002106840060380572609801005035960408410573600094730000080605090000000000,843257961572196843961384572629841735735962418418573629194738256387625194256419387
